email,street_address,city,state,zip,latitude,longitude,has_nanny,age_group,num_kids,time_frame
tiffanyrogers@hotmail.com,320 Allison St NW,Washington,DC,20011,38.94511,-77.0165,Y,6 - 18 months,1,next 30 days
Mchammer@gmail.com,480 Taylor St NW,Washington,DC,20011,38.94255,-77.002,N,18 months - 3 years,1,30-60 days
norbertcat@gmail.com,709 Taylor St NW,Washington,DC,20011,38.9411,-77.02205,N,0-6 months,1,30-60 days
hazmorecheese@gmail.com,830 Spring Rd NW ,Washington ,DC,20010,38.93517,-77.02564,Y,6 - 18 months,1,30-60 days
yodelbird@gmail.com,1464 Harvard St NW,Washington,DC,20010,38.9261,-77.03455,N,0-6 months,2,60 days +
princesscaspian@gmail.com,3525 New Hampshire Ave NW,Washington ,DC,20010,38.93364,-77.02602,N,3 years +,1,next 30 days
steamtower@gmail.com,1201 Upshur St NW,Washington,DC,20011,38.94205,-77.01919,N,3 years +,1,next 30 days
fluffyhead@gmail.com,980 Emerson St NW,Washington,DC,20011,38.9503,-76.99192,N,6 - 18 months,1,30-60 days
craisinlover@gmail.com,1340 Spring Rd NW,Washington,DC ,20010,38.93642,-77.03117,Y,3 years +,1,30-60 days
howtobuildafort@gmail.com,643 Randolph St NW,Washington ,DC ,20011,38.93879,-77.02093,N,0 - 6 months,1,60 days +
helioscope@gmail.com,390 Quincy St NW,Washington,DC,20011,38.93769,-77.02142,Y,6 - 18 months,1,next 30 days
batterypark80@hotmail.com,670 Rock Creek Church Rd NW,Washington,DC ,20010,38.94198,-77.01343,N,3 years +,1,30-60 days
craftypanda@gmail.com,3524 Kansas Ave NW,Washington ,DC,20010,38.939449,-77.027718,N,0 - 6 months,1,60 days +
